保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
盘点的原因有：是否常发现仓库有不明物品，没标示，没数量，状态不明确？生产计划制定过程中，是否经常出现产品多计划或少计划，造成库存积压和短缺现象？库房现场是否经常凌乱，物料急用时一时难于找到?仓库、现场的盘点是否经常出现异常（数量不准、漏盘、多盘等等），是我们盘点中哪一个环节出现了问题?,盘点的原因有：是否常发现仓库有不明物品，没标示，没数量，状态不明确？生产计划制定过程中，是否经常出现产品多计划或少计划，造成库存积压和短缺现象？库房现场是否经常凌乱，物料急用时一时难于找到?仓库、现场的盘点是否经常出现异常（数量不准、漏盘、多盘等等），是我们盘点中哪一个环节出现了问题?,10
仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理,仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理,10
配货的优点有：A 配货作业是配送中心区别于传统仓储作业的明显特征；B 增加了配货业务，增强了企业的灵活性、竞争力和生存力；C 提高了仓库利用率；D 增加了车辆配载率，使空置、闲置的资源得到了全面的利用。,配货的优点有：A 配货作业是配送中心区别于传统仓储作业的明显特征；B 增加了配货业务，增强了企业的灵活性、竞争力和生存力；C 提高了仓库利用率；D 增加了车辆配载率，使空置、闲置的资源得到了全面的利用。,10
配送中心绩效评价的目标包括：改进配送运作程序，调整运作方式；了解配送中心空间、人员、设施、物品、订单、时间、成本、品质、作业规划等各个要素的状况，以便采取改进的措施；评价配送业务各部门和人员的工作绩效，达到激励员工、优化配送运作效率的目的；通过评价服务水平和配送成本，并与以往进行比较分析，向管理者和客户提供绩效评估报告。,配送中心绩效评价的目标包括：改进配送运作程序，调整运作方式；了解配送中心空间、人员、设施、物品、订单、时间、成本、品质、作业规划等各个要素的状况，以便采取改进的措施；评价配送业务各部门和人员的工作绩效，达到激励员工、优化配送运作效率的目的；通过评价服务水平和配送成本，并与以往进行比较分析，向管理者和客户提供绩效评估报告。,10
配送中心规划的过程：配送中心的设立时机规划；配送中心的类型选择；配送中心的所有者选择；配送中心的地址选择；配送中心的规模选择；配送中心的设施设备选择；配送中心的组织结构和岗位设置。,配送中心规划的过程：配送中心的设立时机规划；配送中心的类型选择；配送中心的所有者选择；配送中心的地址选择；配送中心的规模选择；配送中心的设施设备选择；配送中心的组织结构和岗位设置。,10
电子标签拣货系统的原理是在每一个货位安装数字显示器，利用计算机的控制将订单信息传输到数字显示器内，拣货人员根据数字显示器所显示的数字拣货，拣完货之后按确认钮即完成拣货工作。,电子标签拣货系统的原理是在每一个货位安装数字显示器，利用计算机的控制将订单信息传输到数字显示器内，拣货人员根据数字显示器所显示的数字拣货，拣完货之后按确认钮即完成拣货工作。,10
实物盘点又称现货盘点，具体是指在仓库实地去清点调查仓库内的各种物资的库存数，再根据货品单价，计算出实际库存金额的方法。 ,“实物盘点”又称“现货盘点”，就是在仓库实地去清点调查仓库内的各种物资的库存数，再根据货品单价，计算出实际库存金额的方法。 ,10
在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题，这就需要配装。,在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题，这就需要配装。,10
运输方式按运输范畴可分为干线运输；支线运输；二次运输和厂内运输。,运输方式按运输范畴分类：干线运输；支线运输；二次运输；厂内运输。,10
盘点是保证账、物、卡相符的重要措施之一。,盘点是保证账、物、卡相符的重要措施之一。,10
公共仓库是指面向社会提供物品储存服务并收取费用的仓库。,公共仓库是指面向社会提供物品储存服务并收取费用的仓库。,10
机械安全作业要求包括：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,机械安全作业要求包括：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,10
订单准备；订单传输；订单录入；订单履行；订单跟踪构成了订单处理的基本流程。,订单处理的基本流程：订单准备；订单传输；订单录入；订单履行；订单跟踪。,10
分拣是将物品按品种、出入库先后顺序进行分门别类堆放的作业。,将物品按品种堆放的作业。,5
在经济合理区域范围内，根据用户的要求，对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动是配送,在经济合理区域范围内，根据用户的要求，对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动是配送,10
运输的地位：物流的主要功能要素之一；社会物质生产的必要条件之一 ；可以创造“场所效用”；"第三利润源"的主要源泉。,运输的地位：物流的主要功能要素之一；社会物质生产的必要条件之一 ；可以创造“场所效用”；"第三利润源"的主要源泉。,10
正确且迅速地集合顾客所订购的商品是分拣作业目的。,分拣作业目的在于正确且迅速地集合顾客所订购的商品。,10
衡量配送中心每单位存货的库存管理费用是库存管理费率。,衡量配送中心每单位存货的库存管理费用是库存管理费率。,10
矩阵制优点包含：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,矩阵制优点：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,10
